ds,p,perc_total_perf,q,cluster_imbalance_ratio,data_ratio,noise_ratio,acc,bacc,kappa,log_loss,clf
eeg,0.0103,0.25,0.5,1,1.0,0.47,0.5245,0.0445,0.0442,0.8181,irbl2
eeg,0.0103,0.25,0.5,1,1.0,0.47,0.6558,0.2726,0.2815,0.7031,kpdr
eeg,0.0103,0.25,0.5,1,1.0,0.47,0.49,-0.0184,-0.0182,0.942,pdr
eeg,0.0103,0.25,0.6,1,1.0,0.38,0.5935,0.1743,0.175,0.7763,irbl2
eeg,0.0103,0.25,0.6,1,1.0,0.38,0.6713,0.3017,0.3123,0.6925,kpdr
eeg,0.0103,0.25,0.6,1,1.0,0.38,0.577,0.1393,0.1401,0.8441,pdr
eeg,0.0103,0.25,0.7,1,1.0,0.27,0.6731,0.3285,0.3321,0.6468,irbl2
eeg,0.0103,0.25,0.7,1,1.0,0.27,0.7014,0.3619,0.3749,0.6381,kpdr
eeg,0.0103,0.25,0.7,1,1.0,0.27,0.6551,0.2838,0.2893,0.7206,pdr
eeg,0.0103,0.25,0.8,1,1.0,0.15,0.7592,0.5146,0.514,0.499,irbl2
eeg,0.0103,0.25,0.8,1,1.0,0.15,0.7506,0.4742,0.4847,0.5426,kpdr
eeg,0.0103,0.25,0.8,1,1.0,0.15,0.7501,0.4993,0.4971,0.5483,pdr
eeg,0.0103,0.25,0.9,1,1.0,0.09,0.7922,0.5878,0.5832,0.4363,irbl2
eeg,0.0103,0.25,0.9,1,1.0,0.09,0.7908,0.5655,0.5722,0.4671,kpdr
eeg,0.0103,0.25,0.9,1,1.0,0.09,0.7964,0.6068,0.5959,0.4768,pdr
eeg,0.0103,0.25,1.0,1,1.0,0.0,0.8685,0.7308,0.7333,0.3034,irbl2
eeg,0.0103,0.25,1.0,1,1.0,0.0,0.8209,0.6246,0.6331,0.3992,kpdr
eeg,0.0103,0.25,1.0,1,1.0,0.0,0.887,0.7708,0.7714,0.2771,pdr
eeg,0.0103,0.25,0.5,2,0.9126,0.48,0.5216,0.0411,0.0408,0.8287,irbl2
eeg,0.0103,0.25,0.5,2,0.9126,0.48,0.6411,0.2354,0.245,0.7735,kpdr
eeg,0.0103,0.25,0.5,2,0.9126,0.48,0.4935,-0.0093,-0.0091,0.9619,pdr
eeg,0.0103,0.25,0.6,2,0.9126,0.38,0.5772,0.1399,0.1406,0.7964,irbl2
eeg,0.0103,0.25,0.6,2,0.9126,0.38,0.6689,0.2915,0.3034,0.7001,kpdr
eeg,0.0103,0.25,0.6,2,0.9126,0.38,0.5654,0.1178,0.1183,0.8588,pdr
eeg,0.0103,0.25,0.7,2,0.9126,0.27,0.6609,0.3003,0.3047,0.6545,irbl2
eeg,0.0103,0.25,0.7,2,0.9126,0.27,0.6916,0.3392,0.3524,0.6525,kpdr
eeg,0.0103,0.25,0.7,2,0.9126,0.27,0.6522,0.2762,0.2821,0.7174,pdr
eeg,0.0103,0.25,0.8,2,0.9126,0.16,0.7566,0.5112,0.5096,0.5156,irbl2
eeg,0.0103,0.25,0.8,2,0.9126,0.16,0.7448,0.4605,0.4717,0.57,kpdr
eeg,0.0103,0.25,0.8,2,0.9126,0.16,0.7448,0.4872,0.4857,0.5535,pdr
eeg,0.0103,0.25,0.9,2,0.9126,0.1,0.7828,0.5713,0.5655,0.4622,irbl2
eeg,0.0103,0.25,0.9,2,0.9126,0.1,0.7877,0.5544,0.5637,0.4616,kpdr
eeg,0.0103,0.25,0.9,2,0.9126,0.1,0.7973,0.6086,0.5976,0.4799,pdr
eeg,0.0103,0.25,1.0,2,0.9126,0.0,0.8569,0.7093,0.7104,0.3214,irbl2
eeg,0.0103,0.25,1.0,2,0.9126,0.0,0.83,0.6425,0.6515,0.3846,kpdr
eeg,0.0103,0.25,1.0,2,0.9126,0.0,0.8772,0.7512,0.7516,0.2942,pdr
eeg,0.0103,0.25,0.5,5,0.8602,0.49,0.5069,0.0065,0.0065,0.8443,irbl2
eeg,0.0103,0.25,0.5,5,0.8602,0.49,0.6533,0.2707,0.2787,0.7412,kpdr
eeg,0.0103,0.25,0.5,5,0.8602,0.49,0.4764,-0.0489,-0.0485,0.9675,pdr
eeg,0.0103,0.25,0.6,5,0.8602,0.38,0.5723,0.1262,0.1274,0.7958,irbl2
eeg,0.0103,0.25,0.6,5,0.8602,0.38,0.6613,0.2858,0.2946,0.7142,kpdr
eeg,0.0103,0.25,0.6,5,0.8602,0.38,0.5587,0.0982,0.0991,0.8764,pdr
eeg,0.0103,0.25,0.7,5,0.8602,0.27,0.6558,0.2842,0.29,0.6518,irbl2
eeg,0.0103,0.25,0.7,5,0.8602,0.27,0.6794,0.317,0.3284,0.683,kpdr
eeg,0.0103,0.25,0.7,5,0.8602,0.27,0.644,0.2585,0.2643,0.7499,pdr
eeg,0.0103,0.25,0.8,5,0.8602,0.17,0.7483,0.491,0.4912,0.5186,irbl2
eeg,0.0103,0.25,0.8,5,0.8602,0.17,0.7512,0.4766,0.4866,0.5482,kpdr
eeg,0.0103,0.25,0.8,5,0.8602,0.17,0.7454,0.4878,0.4867,0.5598,pdr
eeg,0.0103,0.25,0.9,5,0.8602,0.1,0.7777,0.5597,0.5547,0.4683,irbl2
eeg,0.0103,0.25,0.9,5,0.8602,0.1,0.7795,0.5417,0.5486,0.4896,kpdr
eeg,0.0103,0.25,0.9,5,0.8602,0.1,0.7937,0.5975,0.589,0.4868,pdr
eeg,0.0103,0.25,1.0,5,0.8602,0.0,0.8578,0.708,0.7113,0.3244,irbl2
eeg,0.0103,0.25,1.0,5,0.8602,0.0,0.8117,0.604,0.6135,0.4179,kpdr
eeg,0.0103,0.25,1.0,5,0.8602,0.0,0.8785,0.7496,0.7533,0.3014,pdr
eeg,0.0103,0.25,0.5,10,0.8427,0.49,0.5045,0.0017,0.0017,0.8448,irbl2
eeg,0.0103,0.25,0.5,10,0.8427,0.49,0.6526,0.2658,0.2746,0.8099,kpdr
eeg,0.0103,0.25,0.5,10,0.8427,0.49,0.4731,-0.0564,-0.056,0.9796,pdr
eeg,0.0103,0.25,0.6,10,0.8427,0.38,0.5623,0.1046,0.1057,0.7897,irbl2
eeg,0.0103,0.25,0.6,10,0.8427,0.38,0.6636,0.2892,0.2984,0.7606,kpdr
eeg,0.0103,0.25,0.6,10,0.8427,0.38,0.5521,0.0854,0.0862,0.8789,pdr
eeg,0.0103,0.25,0.7,10,0.8427,0.27,0.6549,0.2832,0.2888,0.6532,irbl2
eeg,0.0103,0.25,0.7,10,0.8427,0.27,0.6885,0.3405,0.351,0.7119,kpdr
eeg,0.0103,0.25,0.7,10,0.8427,0.27,0.6259,0.2176,0.2235,0.7435,pdr
eeg,0.0103,0.25,0.8,10,0.8427,0.18,0.7356,0.4643,0.465,0.5409,irbl2
eeg,0.0103,0.25,0.8,10,0.8427,0.18,0.7439,0.4624,0.4718,0.6274,kpdr
eeg,0.0103,0.25,0.8,10,0.8427,0.18,0.729,0.4528,0.4525,0.5805,pdr
eeg,0.0103,0.25,0.9,10,0.8427,0.11,0.7704,0.5435,0.5394,0.4786,irbl2
eeg,0.0103,0.25,0.9,10,0.8427,0.11,0.7744,0.5309,0.5379,0.5487,kpdr
eeg,0.0103,0.25,0.9,10,0.8427,0.11,0.7715,0.5518,0.5443,0.5069,pdr
eeg,0.0103,0.25,1.0,10,0.8427,0.0,0.8431,0.676,0.6807,0.3451,irbl2
eeg,0.0103,0.25,1.0,10,0.8427,0.0,0.8151,0.6142,0.6217,0.4848,kpdr
eeg,0.0103,0.25,1.0,10,0.8427,0.0,0.8685,0.7295,0.733,0.3286,pdr
eeg,0.0103,0.25,0.5,20,0.8341,0.49,0.4862,-0.0364,-0.0363,0.8976,irbl2
eeg,0.0103,0.25,0.5,20,0.8341,0.49,0.6449,0.2513,0.2593,0.7936,kpdr
eeg,0.0103,0.25,0.5,20,0.8341,0.49,0.47,-0.0644,-0.064,1.0136,pdr
eeg,0.0103,0.25,0.6,20,0.8341,0.38,0.5741,0.1268,0.1284,0.7901,irbl2
eeg,0.0103,0.25,0.6,20,0.8341,0.38,0.6664,0.2933,0.3031,0.7434,kpdr
eeg,0.0103,0.25,0.6,20,0.8341,0.38,0.5463,0.0707,0.0715,0.9486,pdr
eeg,0.0103,0.25,0.7,20,0.8341,0.27,0.6386,0.247,0.2527,0.7077,irbl2
eeg,0.0103,0.25,0.7,20,0.8341,0.27,0.6905,0.3394,0.3517,0.7379,kpdr
eeg,0.0103,0.25,0.7,20,0.8341,0.27,0.6224,0.2116,0.2171,0.812,pdr
eeg,0.0103,0.25,0.8,20,0.8341,0.18,0.7241,0.4405,0.4413,0.5657,irbl2
eeg,0.0103,0.25,0.8,20,0.8341,0.18,0.7352,0.448,0.4557,0.637,kpdr
eeg,0.0103,0.25,0.8,20,0.8341,0.18,0.7121,0.4173,0.4176,0.6381,pdr
eeg,0.0103,0.25,0.9,20,0.8341,0.11,0.7688,0.5377,0.535,0.4925,irbl2
eeg,0.0103,0.25,0.9,20,0.8341,0.11,0.7668,0.5171,0.5231,0.5438,kpdr
eeg,0.0103,0.25,0.9,20,0.8341,0.11,0.7628,0.5332,0.5265,0.5587,pdr
eeg,0.0103,0.25,1.0,20,0.8341,0.0,0.8405,0.6705,0.6752,0.3703,irbl2
eeg,0.0103,0.25,1.0,20,0.8341,0.0,0.8122,0.6088,0.616,0.4625,kpdr
eeg,0.0103,0.25,1.0,20,0.8341,0.0,0.8538,0.7,0.7032,0.3589,pdr
eeg,0.0103,0.25,0.5,50,0.8289,0.49,0.5049,0.0035,0.0035,0.8747,irbl2
eeg,0.0103,0.25,0.5,50,0.8289,0.49,0.6404,0.242,0.2498,0.7824,kpdr
eeg,0.0103,0.25,0.5,50,0.8289,0.49,0.474,-0.0545,-0.054,0.9792,pdr
eeg,0.0103,0.25,0.6,50,0.8289,0.38,0.5679,0.1161,0.1173,0.8224,irbl2
eeg,0.0103,0.25,0.6,50,0.8289,0.38,0.6551,0.2726,0.2811,0.7467,kpdr
eeg,0.0103,0.25,0.6,50,0.8289,0.38,0.5523,0.0865,0.0873,0.9123,pdr
eeg,0.0103,0.25,0.7,50,0.8289,0.27,0.638,0.2482,0.2533,0.6962,irbl2
eeg,0.0103,0.25,0.7,50,0.8289,0.27,0.672,0.3073,0.3167,0.7337,kpdr
eeg,0.0103,0.25,0.7,50,0.8289,0.27,0.6284,0.2256,0.231,0.7972,pdr
eeg,0.0103,0.25,0.8,50,0.8289,0.18,0.719,0.4316,0.4318,0.5815,irbl2
eeg,0.0103,0.25,0.8,50,0.8289,0.18,0.7328,0.4407,0.4493,0.646,kpdr
eeg,0.0103,0.25,0.8,50,0.8289,0.18,0.713,0.4183,0.419,0.6435,pdr
eeg,0.0103,0.25,0.9,50,0.8289,0.11,0.7519,0.5066,0.5025,0.5242,irbl2
eeg,0.0103,0.25,0.9,50,0.8289,0.11,0.7526,0.488,0.4939,0.59,kpdr
