ds,p,perc_total_perf,q,cluster_imbalance_ratio,data_ratio,noise_ratio,acc,bacc,kappa,log_loss,clf
eeg,0.0103,0.25,1.0,1,1.0,0.0,0.8887,0.7689,0.7737,0.2797,irbl
eeg,0.0103,0.25,1.0,1,1.0,0.0,0.8894,0.7703,0.7751,0.2745,irbl2
eeg,0.0103,0.25,1.0,1,1.0,0.0,0.6157,0.2169,0.2183,0.75,trusted_only
eeg,0.0103,0.25,1.0,1,1.0,0.0,0.9068,0.8087,0.811,0.2575,no_correction
eeg,0.0103,0.25,1.0,1,1.0,0.0,0.9061,0.807,0.8096,0.2599,untrusted_only
eeg,0.0103,0.25,1.0,1,1.0,0.0,0.9054,0.8049,0.8081,0.2562,kpdr
eeg,0.0103,0.25,1.0,1,1.0,0.0,0.8841,0.7655,0.7656,0.2954,pdr
eeg,0.0103,0.25,1.0,2,0.9126,0.0,0.8894,0.7704,0.7751,0.277,irbl
eeg,0.0103,0.25,1.0,2,0.9126,0.0,0.8887,0.77,0.774,0.2761,irbl2
eeg,0.0103,0.25,1.0,2,0.9126,0.0,0.6157,0.2169,0.2183,0.75,trusted_only
eeg,0.0103,0.25,1.0,2,0.9126,0.0,0.8999,0.7948,0.797,0.2643,no_correction
eeg,0.0103,0.25,1.0,2,0.9126,0.0,0.9019,0.7977,0.8009,0.2606,untrusted_only
eeg,0.0103,0.25,1.0,2,0.9126,0.0,0.9045,0.8035,0.8064,0.2639,kpdr
eeg,0.0103,0.25,1.0,2,0.9126,0.0,0.8816,0.7605,0.7607,0.2893,pdr
eeg,0.0103,0.25,1.0,5,0.8602,0.0,0.8863,0.7627,0.7684,0.2893,irbl
eeg,0.0103,0.25,1.0,5,0.8602,0.0,0.8843,0.7591,0.7645,0.2882,irbl2
eeg,0.0103,0.25,1.0,5,0.8602,0.0,0.6157,0.2169,0.2183,0.75,trusted_only
eeg,0.0103,0.25,1.0,5,0.8602,0.0,0.8927,0.7779,0.7821,0.2796,no_correction
eeg,0.0103,0.25,1.0,5,0.8602,0.0,0.8903,0.7735,0.7772,0.2817,untrusted_only
eeg,0.0103,0.25,1.0,5,0.8602,0.0,0.8901,0.775,0.7772,0.2826,kpdr
eeg,0.0103,0.25,1.0,5,0.8602,0.0,0.8591,0.7131,0.7147,0.3397,pdr
eeg,0.0103,0.25,1.0,10,0.8427,0.0,0.8769,0.7435,0.7493,0.3048,irbl
eeg,0.0103,0.25,1.0,10,0.8427,0.0,0.8714,0.7328,0.7381,0.3084,irbl2
eeg,0.0103,0.25,1.0,10,0.8427,0.0,0.6157,0.2169,0.2183,0.75,trusted_only
